,director_name,actor_1,actor_2,actor_3,plot_keywords,gross
0,0,0,0,0,avatar,760505847.0
1,0,0,0,0,future,760505847.0
2,0,0,0,0,marine,760505847.0
3,0,0,0,0,native,760505847.0
4,0,0,0,0,paraplegic,760505847.0
5,1,1,1,1,goddess,309404152.0
6,1,1,1,1,marriage,309404152.0
7,1,1,1,1,ceremony,309404152.0
8,1,1,1,1,proposal,309404152.0
9,1,1,1,1,pirate,309404152.0
10,1,1,1,1,singapore,309404152.0
11,2,2,2,2,bomb,200074175.0
12,2,2,2,2,espionage,200074175.0
13,2,2,2,2,sequel,200074175.0
14,2,2,2,2,spy,200074175.0
15,2,2,2,2,terrorist,200074175.0
16,3,3,3,3,deception,448130642.0
17,3,3,3,3,imprisonment,448130642.0
18,3,3,3,3,lawlessness,448130642.0
19,3,3,3,3,police,448130642.0
20,3,3,3,3,officer,448130642.0
21,3,3,3,3,terrorist,448130642.0
22,3,3,3,3,plot,448130642.0
23,4,4,4,4,alien,73058679.0
24,4,4,4,4,american,73058679.0
25,4,4,4,4,civil,73058679.0
26,4,4,4,4,war,73058679.0
27,4,4,4,4,male,73058679.0
28,4,4,4,4,nipple,73058679.0
29,4,4,4,4,mars,73058679.0
30,4,4,4,4,princess,73058679.0
31,5,5,5,5,sandman,336530303.0
32,5,5,5,5,spider,336530303.0
33,5,5,5,5,man,336530303.0
34,5,5,5,5,symbiote,336530303.0
35,5,5,5,5,venom,336530303.0
36,5,5,5,5,villain,336530303.0
37,6,6,6,6,17th,200807262.0
38,6,6,6,6,century,200807262.0
39,6,6,6,6,based,200807262.0
40,6,6,6,6,fairy,200807262.0
41,6,6,6,6,tale,200807262.0
42,6,6,6,6,disney,200807262.0
43,6,6,6,6,flower,200807262.0
44,6,6,6,6,tower,200807262.0
45,7,7,7,7,artificial,458991599.0
46,7,7,7,7,intelligence,458991599.0
47,7,7,7,7,based,458991599.0
48,7,7,7,7,comic,458991599.0
49,7,7,7,7,book,458991599.0
50,7,7,7,7,captain,458991599.0
51,7,7,7,7,america,458991599.0
52,7,7,7,7,marvel,458991599.0
53,7,7,7,7,cinematic,458991599.0
54,7,7,7,7,universe,458991599.0
55,7,7,7,7,superhero,458991599.0
56,8,8,8,8,blood,301956980.0
57,8,8,8,8,book,301956980.0
58,8,8,8,8,love,301956980.0
59,8,8,8,8,potion,301956980.0
60,8,8,8,8,professor,301956980.0
61,9,9,9,9,based,330249062.0
62,9,9,9,9,comic,330249062.0
63,9,9,9,9,book,330249062.0
64,9,9,9,9,batman,330249062.0
65,9,9,9,9,sequel,330249062.0
66,9,9,9,9,a,330249062.0
67,9,9,9,9,reboot,330249062.0
68,9,9,9,9,superhero,330249062.0
69,9,9,9,9,superman,330249062.0
70,10,10,10,10,crystal,200069408.0
71,10,10,10,10,epic,200069408.0
72,10,10,10,10,lex,200069408.0
73,10,10,10,10,luthor,200069408.0
74,10,10,10,10,lois,200069408.0
75,10,10,10,10,lane,200069408.0
76,10,10,10,10,return,200069408.0
77,10,10,10,10,earth,200069408.0
78,11,11,11,11,action,168368427.0
79,11,11,11,11,hero,168368427.0
80,11,11,11,11,attempted,168368427.0
81,11,11,11,11,rape,168368427.0
82,11,11,11,11,bond,168368427.0
83,11,11,11,11,girl,168368427.0
84,11,11,11,11,official,168368427.0
85,11,11,11,11,james,168368427.0
86,11,11,11,11,series,168368427.0
87,11,11,11,11,revenge,168368427.0
88,1,1,1,1,box,423032628.0
89,1,1,1,1,office,423032628.0
90,1,1,1,1,hit,423032628.0
91,1,1,1,1,giant,423032628.0
92,1,1,1,1,squid,423032628.0
93,1,1,1,1,heart,423032628.0
94,1,1,1,1,liar's,423032628.0
95,1,1,1,1,dice,423032628.0
96,1,1,1,1,monster,423032628.0
97,1,1,12,12,horse,89289910.0
98,1,1,12,12,outlaw,89289910.0
99,1,1,12,12,texas,89289910.0
100,1,1,12,12,ranger,89289910.0
101,1,1,12,12,train,89289910.0
102,9,9,13,13,based,291021565.0
103,9,9,13,13,comic,291021565.0
104,9,9,13,13,book,291021565.0
105,9,9,13,13,british,291021565.0
106,9,9,13,13,actor,291021565.0
107,9,9,13,13,playing,291021565.0
108,9,9,13,13,american,291021565.0
109,9,9,13,13,character,291021565.0
110,9,9,13,13,final,291021565.0
111,9,9,13,13,battle,291021565.0
112,9,9,13,13,origin,291021565.0
113,9,9,13,13,hero,291021565.0
114,9,9,13,13,reboot,291021565.0
115,12,12,14,14,brother,141614023.0
116,12,12,14,14,relationship,141614023.0
117,12,12,14,14,sister,141614023.0
118,12,12,14,14,good,141614023.0
119,12,12,14,14,versus,141614023.0
120,12,12,14,14,evil,141614023.0
121,12,12,14,14,king,141614023.0
122,12,12,14,14,narnia,141614023.0
123,7,7,7,7,alien,623279547.0
124,7,7,7,7,invasion,623279547.0
125,7,7,7,7,assassin,623279547.0
126,7,7,7,7,battle,623279547.0
127,7,7,7,7,iron,623279547.0
128,7,7,7,7,man,623279547.0
129,7,7,7,7,soldier,623279547.0
130,13,1,15,15,blackbeard,241063875.0
131,13,1,15,15,captain,241063875.0
132,13,1,15,15,pirate,241063875.0
133,13,1,15,15,revenge,241063875.0
134,13,1,15,15,soldier,241063875.0
135,14,13,16,16,alien,179020854.0
136,14,13,16,16,criminal,179020854.0
137,14,13,16,16,m.i.b.,179020854.0
138,14,13,16,16,maximum,179020854.0
139,14,13,16,16,security,179020854.0
140,14,13,16,16,prison,179020854.0
141,14,13,16,16,prison,179020854.0
142,15,14,17,17,army,255108370.0
143,15,14,17,17,elf,255108370.0
144,15,14,17,17,hobbit,255108370.0
145,15,14,17,17,middle,255108370.0
146,15,14,17,17,earth,255108370.0
147,15,14,17,17,orc,255108370.0
148,16,15,18,18,lizard,262030663.0
149,16,15,18,18,outcast,262030663.0
150,16,15,18,18,spider,262030663.0
151,16,15,18,18,man,262030663.0
152,16,15,18,18,teenager,262030663.0
153,17,16,19,19,1190s,105219735.0
154,17,16,19,19,archer,105219735.0
155,17,16,19,19,england,105219735.0
156,17,16,19,19,king,105219735.0
157,17,16,19,19,robin,105219735.0
158,17,16,19,19,hood,105219735.0
159,15,14,17,17,dwarf,258355354.0
160,15,14,17,17,elf,258355354.0
161,15,14,17,17,lake,258355354.0
162,15,14,17,17,town,258355354.0
163,15,14,17,17,mountain,258355354.0
164,15,14,17,17,sword,258355354.0
165,15,14,17,17,and,258355354.0
166,15,14,17,17,sorcery,258355354.0
167,18,17,20,20,children,70083519.0
168,18,17,20,20,epic,70083519.0
169,18,17,20,20,friend,70083519.0
170,18,17,20,20,girl,70083519.0
171,18,17,20,20,quest,70083519.0
172,15,18,21,21,animal,218051260.0
173,15,18,21,21,name,218051260.0
174,15,18,21,21,title,218051260.0
175,15,18,21,21,ape,218051260.0
176,15,18,21,21,abducts,218051260.0
177,15,18,21,21,a,218051260.0
178,15,18,21,21,woman,218051260.0
179,15,18,21,21,gorilla,218051260.0
180,15,18,21,21,island,218051260.0
181,15,18,21,21,king,218051260.0
182,15,18,21,21,kong,218051260.0
183,0,19,22,22,artist,658672302.0
184,0,19,22,22,love,658672302.0
185,0,19,22,22,ship,658672302.0
186,0,19,22,22,titanic,658672302.0
187,0,19,22,22,wet,658672302.0
188,19,20,23,23,based,407197282.0
189,19,20,23,23,comic,407197282.0
190,19,20,23,23,book,407197282.0
191,19,20,23,23,knife,407197282.0
