,director_name,actor_1,actor_2,actor_3,genres,gross
0,0,0,0,0,Action,760505847.0
1,0,0,0,0,Adventure,760505847.0
2,0,0,0,0,Fantasy,760505847.0
3,0,0,0,0,Sci-Fi,760505847.0
4,1,1,1,1,Action,309404152.0
5,1,1,1,1,Adventure,309404152.0
6,1,1,1,1,Fantasy,309404152.0
7,2,2,2,2,Action,200074175.0
8,2,2,2,2,Adventure,200074175.0
9,2,2,2,2,Thriller,200074175.0
10,3,3,3,3,Action,448130642.0
11,3,3,3,3,Thriller,448130642.0
12,4,4,4,4,Action,73058679.0
13,4,4,4,4,Adventure,73058679.0
14,4,4,4,4,Sci-Fi,73058679.0
15,5,5,5,5,Action,336530303.0
16,5,5,5,5,Adventure,336530303.0
17,5,5,5,5,Romance,336530303.0
18,6,6,6,6,Adventure,200807262.0
19,6,6,6,6,Animation,200807262.0
20,6,6,6,6,Comedy,200807262.0
21,6,6,6,6,Family,200807262.0
22,6,6,6,6,Fantasy,200807262.0
23,6,6,6,6,Musical,200807262.0
24,6,6,6,6,Romance,200807262.0
25,7,7,7,7,Action,458991599.0
26,7,7,7,7,Adventure,458991599.0
27,7,7,7,7,Sci-Fi,458991599.0
28,8,8,8,8,Adventure,301956980.0
29,8,8,8,8,Family,301956980.0
30,8,8,8,8,Fantasy,301956980.0
31,8,8,8,8,Mystery,301956980.0
32,9,9,9,9,Action,330249062.0
33,9,9,9,9,Adventure,330249062.0
34,9,9,9,9,Sci-Fi,330249062.0
35,10,10,10,10,Action,200069408.0
36,10,10,10,10,Adventure,200069408.0
37,10,10,10,10,Sci-Fi,200069408.0
38,11,11,11,11,Action,168368427.0
39,11,11,11,11,Adventure,168368427.0
40,1,1,1,1,Action,423032628.0
41,1,1,1,1,Adventure,423032628.0
42,1,1,1,1,Fantasy,423032628.0
43,1,1,12,12,Action,89289910.0
44,1,1,12,12,Adventure,89289910.0
45,1,1,12,12,Western,89289910.0
46,9,9,13,13,Action,291021565.0
47,9,9,13,13,Adventure,291021565.0
48,9,9,13,13,Fantasy,291021565.0
49,9,9,13,13,Sci-Fi,291021565.0
50,12,12,14,14,Action,141614023.0
51,12,12,14,14,Adventure,141614023.0
52,12,12,14,14,Family,141614023.0
53,12,12,14,14,Fantasy,141614023.0
54,7,7,7,7,Action,623279547.0
55,7,7,7,7,Adventure,623279547.0
56,7,7,7,7,Sci-Fi,623279547.0
57,13,1,15,15,Action,241063875.0
58,13,1,15,15,Adventure,241063875.0
59,13,1,15,15,Fantasy,241063875.0
60,14,13,16,16,Action,179020854.0
61,14,13,16,16,Adventure,179020854.0
62,14,13,16,16,Comedy,179020854.0
63,14,13,16,16,Family,179020854.0
64,14,13,16,16,Fantasy,179020854.0
65,14,13,16,16,Sci-Fi,179020854.0
66,15,14,17,17,Adventure,255108370.0
67,15,14,17,17,Fantasy,255108370.0
68,16,15,18,18,Action,262030663.0
69,16,15,18,18,Adventure,262030663.0
