,director_name,actor_1_name,actor_2_name,actor_3_name,gross
0,49,40,39,40,760505847
1,49,40,39,40,760505847
2,49,40,39,40,760505847
3,49,40,39,40,760505847
4,49,40,39,40,760505847
5,45,287,64,38,309404152
6,45,287,64,38,309404152
7,45,287,64,38,309404152
8,45,287,64,38,309404152
9,45,287,64,38,309404152
10,45,287,64,38,309404152
11,57,60,44,5,200074175
12,57,60,44,5,200074175
13,57,60,44,5,200074175
14,57,60,44,5,200074175
15,57,60,44,5,200074175
16,61,90,200,124,448130642
17,61,90,200,124,448130642
18,61,90,200,124,448130642
19,61,90,200,124,448130642
20,61,90,200,124,448130642
21,61,90,200,124,448130642
22,61,90,200,124,448130642
23,25,43,45,13,73058679
24,25,43,45,13,73058679
25,25,43,45,13,73058679
26,25,43,45,13,73058679
27,25,43,45,13,73058679
28,25,43,45,13,73058679
29,25,43,45,13,73058679
30,25,43,45,13,73058679
31,80,202,185,177,336530303
32,80,202,185,177,336530303
33,80,202,185,177,336530303
34,80,202,185,177,336530303
35,80,202,185,177,336530303
36,80,202,185,177,336530303
37,8,48,16,34,200807262
38,8,48,16,34,200807262
39,8,48,16,34,200807262
40,8,48,16,34,200807262
41,8,48,16,34,200807262
42,8,48,16,34,200807262
43,8,48,16,34,200807262
44,8,48,16,34,200807262
45,30,115,221,229,458991599
46,30,115,221,229,458991599
47,30,115,221,229,458991599
48,30,115,221,229,458991599
49,30,115,221,229,458991599
50,30,115,221,229,458991599
51,30,115,221,229,458991599
52,30,115,221,229,458991599
53,30,115,221,229,458991599
54,30,115,221,229,458991599
55,30,115,221,229,458991599
56,22,72,75,35,301956980
57,22,72,75,35,301956980
58,22,72,75,35,301956980
59,22,72,75,35,301956980
60,22,72,75,35,301956980
61,67,63,16,9,330249062
62,67,63,16,9,330249062
63,67,63,16,9,330249062
64,67,63,16,9,330249062
65,67,63,16,9,330249062
66,67,63,16,9,330249062
67,67,63,16,9,330249062
68,67,63,16,9,330249062
69,67,63,16,9,330249062
70,56,151,51,79,200069408
71,56,151,51,79,200069408
72,56,151,51,79,200069408
73,56,151,51,79,200069408
74,56,151,51,79,200069408
75,56,151,51,79,200069408
76,56,151,51,79,200069408
77,56,151,51,79,200069408
78,47,24,42,44,168368427
79,47,24,42,44,168368427
80,47,24,42,44,168368427
81,47,24,42,44,168368427
82,47,24,42,44,168368427
83,47,24,42,44,168368427
84,47,24,42,44,168368427
85,47,24,42,44,168368427
86,47,24,42,44,168368427
87,47,24,42,44,168368427
88,45,287,64,38,423032628
89,45,287,64,38,423032628
90,45,287,64,38,423032628
91,45,287,64,38,423032628
92,45,287,64,38,423032628
93,45,287,64,38,423032628
94,45,287,64,38,423032628
95,45,287,64,38,423032628
96,45,287,64,38,423032628
97,45,287,13,179,89289910
98,45,287,13,179,89289910
99,45,287,13,179,89289910
100,45,287,13,179,89289910
101,45,287,13,179,89289910
102,67,63,37,54,291021565
103,67,63,37,54,291021565
104,67,63,37,54,291021565
105,67,63,37,54,291021565
106,67,63,37,54,291021565
107,67,63,37,54,291021565
108,67,63,37,54,291021565
109,67,63,37,54,291021565
110,67,63,37,54,291021565
111,67,63,37,54,291021565
112,67,63,37,54,291021565
113,67,63,37,54,291021565
114,67,63,37,54,291021565
115,35,100,8,13,141614023
116,35,100,8,13,141614023
117,35,100,8,13,141614023
118,35,100,8,13,141614023
119,35,100,8,13,141614023
120,35,100,8,13,141614023
121,35,100,8,13,141614023
122,35,100,8,13,141614023
123,30,115,221,229,623279547
124,30,115,221,229,623279547
125,30,115,221,229,623279547
126,30,115,221,229,623279547
127,30,115,221,229,623279547
128,30,115,221,229,623279547
129,30,115,221,229,623279547
130,36,287,27,38,241063875
131,36,287,27,38,241063875
132,36,287,27,38,241063875
133,36,287,27,38,241063875
134,36,287,27,38,241063875
135,50,150,33,7,179020854
136,50,150,33,7,179020854
137,50,150,33,7,179020854
138,50,150,33,7,179020854
139,50,150,33,7,179020854
140,50,150,33,7,179020854
141,50,150,33,7,179020854
142,87,24,19,38,255108370
143,87,24,19,38,255108370
144,87,24,19,38,255108370
145,87,24,19,38,255108370
146,87,24,19,38,255108370
147,87,24,19,38,255108370
148,22,104,38,10,262030663
149,22,104,38,10,262030663
150,22,104,38,10,262030663
151,22,104,38,10,262030663
152,22,104,38,10,262030663
153,112,58,111,13,105219735
154,112,58,111,13,105219735
155,112,58,111,13,105219735
156,112,58,111,13,105219735
157,112,58,111,13,105219735
158,112,58,111,13,105219735
159,87,24,19,38,258355354
160,87,24,19,38,258355354
161,87,24,19,38,258355354
162,87,24,19,38,258355354
163,87,24,19,38,258355354
164,87,24,19,38,258355354
165,87,24,19,38,258355354
166,87,24,19,38,258355354
167,36,95,35,79,70083519
168,36,95,35,79,70083519
169,36,95,35,79,70083519
170,36,95,35,79,70083519
171,36,95,35,79,70083519
172,87,175,104,33,218051260
173,87,175,104,33,218051260
