,director_name,actor_1_name,actor_2_name,actor_3_name,plot_keywords,gross
0,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,avatar,760505847.0
1,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,future,760505847.0
2,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,marine,760505847.0
3,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,native,760505847.0
4,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,paraplegic,760505847.0
5,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,goddess,309404152.0
6,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,marriage,309404152.0
7,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,ceremony,309404152.0
8,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,proposal,309404152.0
9,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,pirate,309404152.0
10,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,singapore,309404152.0
11,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,bomb,200074175.0
12,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,espionage,200074175.0
13,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,sequel,200074175.0
14,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,spy,200074175.0
15,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,terrorist,200074175.0
16,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,deception,448130642.0
17,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,imprisonment,448130642.0
18,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,lawlessness,448130642.0
19,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,police,448130642.0
20,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,officer,448130642.0
21,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,terrorist,448130642.0
22,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,plot,448130642.0
23,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,alien,73058679.0
24,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,american,73058679.0
25,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,civil,73058679.0
26,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,war,73058679.0
27,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,male,73058679.0
28,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,nipple,73058679.0
29,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,mars,73058679.0
30,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,princess,73058679.0
31,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,sandman,336530303.0
32,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,spider,336530303.0
33,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,man,336530303.0
34,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,symbiote,336530303.0
35,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,venom,336530303.0
36,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,villain,336530303.0
37,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,17th,200807262.0
38,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,century,200807262.0
39,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,based,200807262.0
40,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,fairy,200807262.0
41,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,tale,200807262.0
42,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,disney,200807262.0
43,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,flower,200807262.0
44,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,tower,200807262.0
45,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,artificial,458991599.0
46,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,intelligence,458991599.0
47,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,based,458991599.0
48,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,comic,458991599.0
49,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,book,458991599.0
50,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,captain,458991599.0
51,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,america,458991599.0
52,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,marvel,458991599.0
53,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,cinematic,458991599.0
