,director_name,actor_1_name,actor_2_name,actor_3_name,genres,gross
0,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action,760505847.0
1,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Adventure,760505847.0
2,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Fantasy,760505847.0
3,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Sci-Fi,760505847.0
4,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action,309404152.0
5,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Adventure,309404152.0
6,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Fantasy,309404152.0
7,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action,200074175.0
8,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Adventure,200074175.0
9,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Thriller,200074175.0
10,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action,448130642.0
11,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Thriller,448130642.0
12,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action,73058679.0
13,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Adventure,73058679.0
14,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Sci-Fi,73058679.0
15,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action,336530303.0
16,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Adventure,336530303.0
17,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Romance,336530303.0
18,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure,200807262.0
19,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Animation,200807262.0
20,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Comedy,200807262.0
21,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Family,200807262.0
22,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Fantasy,200807262.0
23,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Musical,200807262.0
24,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Romance,200807262.0
25,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action,458991599.0
26,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Adventure,458991599.0
27,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Sci-Fi,458991599.0
28,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure,301956980.0
29,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Family,301956980.0
30,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Fantasy,301956980.0
31,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Mystery,301956980.0
32,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action,330249062.0
33,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Adventure,330249062.0
34,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Sci-Fi,330249062.0
35,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action,200069408.0
36,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Adventure,200069408.0
37,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Sci-Fi,200069408.0
38,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action,168368427.0
39,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Adventure,168368427.0
40,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action,423032628.0
41,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Adventure,423032628.0
42,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Fantasy,423032628.0
43,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action,89289910.0
44,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Adventure,89289910.0
45,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Western,89289910.0
46,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action,291021565.0
