,director_name,actor_1_name,actor_2_name,actor_3_name,plot_keywords,gross
0,49,40,39,40,avatar,760505847.0
1,49,40,39,40,future,760505847.0
2,49,40,39,40,marine,760505847.0
3,49,40,39,40,native,760505847.0
4,49,40,39,40,paraplegic,760505847.0
5,45,287,64,38,goddess,309404152.0
6,45,287,64,38,marriage,309404152.0
7,45,287,64,38,ceremony,309404152.0
8,45,287,64,38,proposal,309404152.0
9,45,287,64,38,pirate,309404152.0
10,45,287,64,38,singapore,309404152.0
11,57,60,44,5,bomb,200074175.0
12,57,60,44,5,espionage,200074175.0
13,57,60,44,5,sequel,200074175.0
14,57,60,44,5,spy,200074175.0
15,57,60,44,5,terrorist,200074175.0
16,61,90,200,124,deception,448130642.0
17,61,90,200,124,imprisonment,448130642.0
18,61,90,200,124,lawlessness,448130642.0
19,61,90,200,124,police,448130642.0
20,61,90,200,124,officer,448130642.0
21,61,90,200,124,terrorist,448130642.0
22,61,90,200,124,plot,448130642.0
23,25,43,45,13,alien,73058679.0
24,25,43,45,13,american,73058679.0
25,25,43,45,13,civil,73058679.0
26,25,43,45,13,war,73058679.0
27,25,43,45,13,male,73058679.0
28,25,43,45,13,nipple,73058679.0
29,25,43,45,13,mars,73058679.0
30,25,43,45,13,princess,73058679.0
31,80,202,185,177,sandman,336530303.0
32,80,202,185,177,spider,336530303.0
33,80,202,185,177,man,336530303.0
34,80,202,185,177,symbiote,336530303.0
35,80,202,185,177,venom,336530303.0
36,80,202,185,177,villain,336530303.0
37,8,48,16,34,17th,200807262.0
38,8,48,16,34,century,200807262.0
39,8,48,16,34,based,200807262.0
40,8,48,16,34,fairy,200807262.0
41,8,48,16,34,tale,200807262.0
42,8,48,16,34,disney,200807262.0
43,8,48,16,34,flower,200807262.0
44,8,48,16,34,tower,200807262.0
45,30,115,221,229,artificial,458991599.0
46,30,115,221,229,intelligence,458991599.0
47,30,115,221,229,based,458991599.0
48,30,115,221,229,comic,458991599.0
49,30,115,221,229,book,458991599.0
50,30,115,221,229,captain,458991599.0
51,30,115,221,229,america,458991599.0
52,30,115,221,229,marvel,458991599.0
53,30,115,221,229,cinematic,458991599.0
54,30,115,221,229,universe,458991599.0
55,30,115,221,229,superhero,458991599.0
56,22,72,75,35,blood,301956980.0
57,22,72,75,35,book,301956980.0
58,22,72,75,35,love,301956980.0
59,22,72,75,35,potion,301956980.0
60,22,72,75,35,professor,301956980.0
61,67,63,16,9,based,330249062.0
62,67,63,16,9,comic,330249062.0
63,67,63,16,9,book,330249062.0
64,67,63,16,9,batman,330249062.0
65,67,63,16,9,sequel,330249062.0
66,67,63,16,9,a,330249062.0
67,67,63,16,9,reboot,330249062.0
68,67,63,16,9,superhero,330249062.0
69,67,63,16,9,superman,330249062.0
70,56,151,51,79,crystal,200069408.0
71,56,151,51,79,epic,200069408.0
72,56,151,51,79,lex,200069408.0
73,56,151,51,79,luthor,200069408.0
74,56,151,51,79,lois,200069408.0
75,56,151,51,79,lane,200069408.0
76,56,151,51,79,return,200069408.0
77,56,151,51,79,earth,200069408.0
78,47,24,42,44,action,168368427.0
