director_name,actor_1_name,actor_2_name,actor_3_name,genres,gross
5,5,1,5,Action,760505847
3,1,1,3,Adventure,760505847
1,4,2,2,Fantasy,760505847
5,3,1,3,Sci-Fi,760505847
4,9,8,3,Action,309404152
6,12,9,3,Adventure,309404152
3,13,6,3,Fantasy,309404152
4,4,4,1,Action,200074175
3,4,4,1,Adventure,200074175
4,2,4,1,Thriller,200074175
4,7,10,7,Action,448130642
6,9,9,9,Thriller,448130642
1,3,1,2,Action,73058679
3,4,1,1,Adventure,73058679
2,3,2,1,Sci-Fi,73058679
5,11,10,5,Action,336530303
6,10,10,8,Adventure,336530303
5,15,8,16,Romance,336530303
1,4,1,2,Adventure,200807262
1,3,1,1,Animation,200807262
1,6,1,3,Comedy,200807262
1,4,1,2,Family,200807262
1,2,1,1,Fantasy,200807262
1,1,1,1,Musical,200807262
1,2,1,2,Romance,200807262
4,11,10,11,Action,458991599
4,11,9,11,Adventure,458991599
4,4,8,12,Sci-Fi,458991599
4,7,7,4,Adventure,301956980
2,4,6,4,Family,301956980
2,4,7,4,Fantasy,301956980
2,1,6,4,Mystery,301956980
8,6,1,1,Action,330249062
3,5,1,1,Adventure,330249062
3,2,1,1,Sci-Fi,330249062
5,3,2,4,Action,200069408
6,2,2,4,Adventure,200069408
5,3,3,2,Sci-Fi,200069408
3,2,1,4,Action,168368427
2,1,1,4,Adventure,168368427
4,9,8,3,Action,423032628
6,12,9,3,Adventure,423032628
3,13,6,3,Fantasy,423032628
4,9,1,5,Action,89289910
6,12,1,4,Adventure,89289910
2,2,1,1,Western,89289910
8,6,1,1,Action,291021565
3,5,1,1,Adventure,291021565
4,3,1,1,Fantasy,291021565
3,2,2,1,Sci-Fi,291021565
1,4,1,1,Action,141614023
4,3,1,1,Adventure,141614023
4,4,1,1,Family,141614023
5,3,1,1,Fantasy,141614023
4,11,10,11,Action,623279547
4,11,9,11,Adventure,623279547
4,4,8,12,Sci-Fi,623279547
1,9,3,1,Action,241063875
2,12,3,2,Adventure,241063875
2,13,3,3,Fantasy,241063875
3,11,1,1,Action,179020854
3,6,1,1,Adventure,179020854
7,9,3,1,Comedy,179020854
3,3,1,1,Family,179020854
3,3,1,1,Fantasy,179020854
4,9,1,1,Sci-Fi,179020854
9,3,3,3,Adventure,255108370
8,4,3,3,Fantasy,255108370
2,2,2,1,Action,262030663
2,4,3,1,Adventure,262030663
2,3,3,1,Fantasy,262030663
8,3,4,1,Action,105219735
7,2,5,1,Adventure,105219735
13,4,12,2,Drama,105219735
3,1,1,1,History,105219735
9,3,3,3,Adventure,258355354
8,4,3,3,Fantasy,258355354
2,9,3,2,Adventure,70083519
1,4,1,1,Family,70083519
3,9,2,1,Fantasy,70083519
6,6,7,3,Action,218051260
9,4,4,3,Adventure,218051260
9,17,7,3,Drama,218051260
4,7,4,3,Romance,218051260
2,18,15,1,Drama,658672302
1,6,10,1,Romance,658672302
2,10,11,8,Action,407197282
2,9,11,6,Adventure,407197282
2,8,12,7,Sci-Fi,407197282
5,17,4,1,Action,65173160
2,11,3,2,Adventure,65173160
1,2,3,1,Sci-Fi,65173160
5,15,3,1,Thriller,65173160
1,2,6,2,Action,652177271
1,2,5,1,Adventure,652177271
1,2,6,1,Sci-Fi,652177271
1,3,3,1,Thriller,652177271
4,3,2,4,Action,304360277
3,3,3,4,Adventure,304360277
4,3,2,4,Thriller,304360277
5,11,10,5,Action,373377893
6,10,10,8,Adventure,373377893
6,3,7,5,Fantasy,373377893
5,15,8,16,Romance,373377893
1,10,4,4,Action,408992272
1,9,4,2,Adventure,408992272
1,8,4,3,Sci-Fi,408992272
7,12,7,7,Adventure,334185206
5,7,4,8,Family,334185206
8,13,4,4,Fantasy,334185206
8,9,3,1,Action,234360014
3,11,3,1,Adventure,234360014
2,9,3,1,Fantasy,234360014
1,10,2,1,Sci-Fi,234360014
5,9,2,1,Thriller,234360014
1,9,2,3,Adventure,268488329
1,7,1,1,Animation,268488329
1,22,4,6,Comedy,268488329
1,8,1,3,Family,268488329
1,8,1,3,Fantasy,268488329
12,5,4,4,Action,402076689
8,5,3,1,Adventure,402076689
7,4,4,2,Sci-Fi,402076689
12,3,4,3,Action,245428137
8,2,3,3,Adventure,245428137
7,2,3,2,Sci-Fi,245428137
6,2,4,10,Adventure,234903076
2,2,2,3,Family,234903076
6,2,3,7,Fantasy,234903076
2,2,2,1,Action,202853933
2,4,3,2,Adventure,202853933
2,3,3,1,Fantasy,202853933
1,2,2,1,Sci-Fi,202853933
3,5,4,5,Action,172051787
3,8,3,6,Adventure,172051787
3,5,4,2,Sci-Fi,172051787
5,2,4,1,Adventure,191450875
5,1,1,1,Animation,191450875
5,2,2,5,Comedy,191450875
5,2,1,1,Family,191450875
2,1,1,1,Sport,191450875
7,8,2,1,Action,116593191
8,6,1,1,Adventure,116593191
1,5,2,1,Sci-Fi,116593191
1,7,9,1,Adventure,414984497
1,4,10,1,Animation,414984497
1,14,9,2,Comedy,414984497
1,5,10,1,Family,414984497
1,7,7,1,Fantasy,414984497
5,10,2,4,Action,125320003
3,9,2,1,Adventure,125320003
1,4,2,1,Sci-Fi,125320003
2,19,12,15,Action,350034110
2,16,11,9,Crime,350034110
7,19,12,13,Thriller,350034110
3,1,7,3,Action,202351611
2,1,6,1,Adventure,202351611
1,1,2,1,Horror,202351611
1,1,2,1,Sci-Fi,202351611
1,2,12,3,Thriller,202351611
5,3,4,9,Action,233914986
6,7,3,11,Adventure,233914986
3,1,3,9,Fantasy,233914986
5,7,2,10,Sci-Fi,233914986
4,5,1,9,Thriller,233914986
3,1,4,1,Action,228756232
3,2,4,1,Adventure,228756232
3,1,4,1,Sci-Fi,228756232
6,4,2,1,Adventure,65171860
3,1,1,1,Fantasy,65171860
5,18,2,2,Drama,144812796
5,6,2,2,Romance,144812796
1,3,2,1,Action,90755643
2,3,1,1,Adventure,90755643
2,1,1,1,Fantasy,90755643
4,6,3,1,Romance,90755643
4,1,8,1,Action,101785482
2,2,1,1,Adventure,101785482
4,2,4,1,Sci-Fi,101785482
12,5,1,4,Action,352358779
8,5,1,3,Adventure,352358779
7,4,1,4,Sci-Fi,352358779
8,16,6,6,Action,317011114
12,11,4,9,Adventure,317011114
4,7,1,4,Fantasy,317011114
1,1,1,1,Adventure,123070338
1,1,1,1,Animation,123070338
1,1,1,1,Comedy,123070338
1,1,1,1,Family,123070338
1,1,1,1,Fantasy,123070338
1,2,9,1,Adventure,237282182
1,1,10,2,Animation,237282182
1,3,9,4,Comedy,237282182
1,3,10,3,Family,237282182
1,2,7,2,Fantasy,237282182
3,1,1,1,Action,130468626
1,1,1,1,Adventure,130468626
1,1,1,1,Sci-Fi,130468626
3,1,1,1,Thriller,130468626
3,9,4,2,Adventure,223806889
2,10,2,1,Animation,223806889
2,10,2,2,Family,223806889
2,1,2,1,Sci-Fi,223806889
8,2,1,2,Action,140080850
6,1,3,1,Comedy,140080850
6,1,1,2,Crime,140080850
5,3,1,2,Thriller,140080850
6,4,1,1,Action,166112167
4,5,1,1,Adventure,166112167
4,4,1,1,Sci-Fi,166112167
3,2,1,4,Animation,137850096
7,10,15,14,Drama,137850096
2,2,4,6,Family,137850096
5,3,3,7,Fantasy,137850096
5,7,3,1,Action,47375327
1,3,4,1,Adventure,47375327
4,2,1,1,Sci-Fi,47375327
2,4,4,2,Action,124051759
4,4,3,2,Adventure,124051759
2,6,7,2,Drama,124051759
2,4,4,2,Romance,124051759
4,9,1,2,Adventure,291709845
4,6,1,2,Family,291709845
5,4,1,2,Fantasy,291709845
5,3,6,1,Action,154985087
6,7,5,1,Adventure,154985087
5,7,3,1,Sci-Fi,154985087
4,10,5,16,Action,533316061
1,8,1,16,Crime,533316061
4,22,7,30,Drama,533316061
6,9,3,21,Thriller,533316061
3,9,2,1,Adventure,292979556
3,10,1,1,Animation,292979556
3,9,4,1,Comedy,292979556
3,10,1,1,Family,292979556
1,1,2,1,Action,198332128
4,4,2,1,Adventure,198332128
1,6,1,1,Animation,198332128
4,13,7,1,Comedy,198332128
4,6,1,1,Family,198332128
1,1,2,1,Sci-Fi,198332128
3,10,5,4,Action,318298180
5,9,8,4,Adventure,318298180
3,8,5,4,Sci-Fi,318298180
1,3,9,4,Adventure,73820094
14,8,4,7,Drama,73820094
1,3,4,2,Family,73820094
2,4,1,3,Mystery,73820094
3,11,9,3,Action,113745408
7,9,8,3,Comedy,113745408
4,9,3,2,Sci-Fi,113745408
1,1,1,1,Western,113745408
10,13,4,1,Action,102176165
5,5,8,1,Adventure,102176165
2,2,7,1,Fantasy,102176165
1,1,1,1,Horror,102176165
10,9,3,1,Thriller,102176165
6,11,2,1,Action,161087183
1,6,2,1,Adventure,161087183
1,9,1,4,Comedy,161087183
1,9,2,1,Sci-Fi,161087183
6,2,11,19,Comedy,100289690
1,2,5,6,Family,100289690
3,2,3,1,Fantasy,100289690
4,14,1,2,Action,100189501
2,8,1,2,Adventure,100189501
2,5,1,2,Sci-Fi,100189501
5,1,1,1,Action,88246220
5,1,1,2,Adventure,88246220
1,1,1,1,Sci-Fi,88246220
2,2,1,2,Thriller,88246220
3,7,6,1,Action,150167630
4,4,6,1,Adventure,150167630
2,4,4,1,Sci-Fi,150167630
2,9,6,1,Thriller,150167630
3,4,1,1,Adventure,356454367
3,6,1,1,Animation,356454367
3,13,3,2,Comedy,356454367
1,2,1,1,Drama,356454367
3,6,1,1,Family,356454367
2,3,1,1,Fantasy,356454367
5,11,11,2,Adventure,362645141
3,16,18,3,Drama,362645141
4,4,7,2,Family,362645141
4,4,8,2,Fantasy,362645141
3,10,11,4,Action,312057433
5,9,11,4,Adventure,312057433
3,8,12,4,Sci-Fi,312057433
1,11,3,3,Action,155111815
1,11,9,3,Adventure,155111815
1,5,17,3,Drama,155111815
1,5,8,3,Fantasy,155111815
1,14,4,2,Action,241407328
1,10,1,1,Adventure,241407328
